Id;ParentId;case_id;parent_case_id;Id_parent;Symptom__c;Incident_Reason__c;symptom_name;incident_reason_name;macro_symptom
5003X000023TEx0QAG;;5003X000023TEx0QAG;;;;;;;outro
5003X000023TF54QAG;;5003X000023TF54QAG;;;;;;;outro
5003X000023Tj1yQAC;;5003X000023Tj1yQAC;;;;;;;outro
5003X000023TlBhQAK;;5003X000023TlBhQAK;;;;;;;outro
5003X000023TzQcQAK;;5003X000023TzQcQAK;;;;;;;outro
5003X000023UAgBQAW;;5003X000023UAgBQAW;;;;;;;outro
5003X000023UH3yQAG;;5003X000023UH3yQAG;;;;;;;outro
5003X000023UQnvQAG;;5003X000023UQnvQAG;;;;;;;outro
5003X000023UQuXQAW;;5003X000023UQuXQAW;;;;;;;outro
5003X000023UYxhQAG;;5003X000023UYxhQAG;;;;;;;outro
5003X000023UlNuQAK;;5003X000023UlNuQAK;;;;;;;outro
5003X000023Uy74QAC;;5003X000023Uy74QAC;;;;;;;outro
5003X000023V08YQAS;;5003X000023V08YQAS;;;;;;;outro
5003X000023V43TQAS;;5003X000023V43TQAS;;;;;;;outro
5003X000024zRKsQAM;;5003X000024zRKsQAM;;;;;;;outro
5003X000024zjvGQAQ;;5003X000024zjvGQAQ;;;;;;;outro
5003X0000251I7oQAE;;5003X0000251I7oQAE;;;;;;;outro
5003X0000251P83QAE;;5003X0000251P83QAE;;;;;;;outro
5003X0000251PCPQA2;;5003X0000251PCPQA2;;;;;;;outro
5003X0000251Pf2QAE;;5003X0000251Pf2QAE;;;;;;;outro
5003X0000251eBZQAY;;5003X0000251eBZQAY;;;;;;;outro
5003X00002528GuQAI;;5003X00002528GuQAI;;;;;;;outro
5003X0000252C6uQAE;;5003X0000252C6uQAE;;;;;;;outro
5003X0000252sOsQAI;;5003X0000252sOsQAI;;;;;;;outro
5003X0000253atOQAQ;;5003X0000253atOQAQ;;;;;;;outro
5003X000025XARlQAO;;5003X000025XARlQAO;;;;;;;outro
5003X000025XUk4QAG;;5003X000025XUk4QAG;;;;;;;outro
5003X000025XWBeQAO;;5003X000025XWBeQAO;;;;;;;outro
5003X000025XWqwQAG;;5003X000025XWqwQAG;;;;;;;outro
5003X000025XiKTQA0;;5003X000025XiKTQA0;;;;;;;outro
5003X000025Xj6BQAS;;5003X000025Xj6BQAS;;;;;;;outro
5003X000025XuSDQA0;;5003X000025XuSDQA0;;;;;;;outro
5003X000025YYEkQAO;;5003X000025YYEkQAO;;;;;;;outro
5003X000025YYcIQAW;;5003X000025YYcIQAW;;;;;;;outro
5003X000025YZDxQAO;;5003X000025YZDxQAO;;;;;;;outro
5003X000025YwHbQAK;;5003X000025YwHbQAK;;;;;;;outro
5003X000025ZK0PQAW;;5003X000025ZK0PQAW;;;;;;;outro
5003X000025ZP0ZQAW;;5003X000025ZP0ZQAW;;;;;;;outro
5003X000025ZPHBQA4;;5003X000025ZPHBQA4;;;;;;;outro
5003X000025ZhJrQAK;;5003X000025ZhJrQAK;;;;;;;outro
5003X000025ZzrNQAS;;5003X000025ZzrNQAS;;;;;;;outro
5003X000025a034QAA;;5003X000025a034QAA;;;;;;;outro
5003X000025apPDQAY;;5003X000025apPDQAY;;;;;;;outro
5003X0000261IcXQAU;;5003X0000261IcXQAU;;;;;;;outro
5003X0000261KkbQAE;;5003X0000261KkbQAE;;;;;;;outro
5003X0000261wq7QAA;;5003X0000261wq7QAA;;;;;;;outro
5003X0000261wyKQAQ;;5003X0000261wyKQAQ;;;;;;;outro
5003X0000261y1zQAA;;5003X0000261y1zQAA;;;;;;;outro
5003X00002627sWQAQ;;5003X00002627sWQAQ;;;;;;;outro
5003X00002629eBQAQ;;5003X00002629eBQAQ;;;;;;;outro
5003X0000262OTMQA2;;5003X0000262OTMQA2;;;;;;;outro
5003X0000262VIbQAM;;5003X0000262VIbQAM;;;;;;;outro
5003X0000263bUbQAI;;5003X0000263bUbQAI;;;;;;;outro
5003X0000263oW3QAI;;5003X0000263oW3QAI;;;;;;;outro
